all	lv6	lv1	hh-203	hh-202	big-arc	orion-s	bar-ifront	sky-sw	sky-ne	wavelength
1.542039e+06	1.908448e+06	3.808586e+06	2.113098e+06	9.447469e+05	1.043530e+06	1.504734e+06	1.663293e+06	2.587367e+05	1.803568e+05	4685.95
1.544022e+06	1.895274e+06	3.863552e+06	2.150232e+06	9.409428e+05	1.038712e+06	1.498502e+06	1.701507e+06	2.523853e+05	1.799923e+05	4686.80
1.538011e+06	1.900522e+06	3.877786e+06	2.158752e+06	9.474662e+05	1.036249e+06	1.502643e+06	1.732850e+06	2.570516e+05	1.821392e+05	4687.65
1.558078e+06	1.918917e+06	3.896561e+06	2.180183e+06	9.372810e+05	1.040645e+06	1.514599e+06	1.720328e+06	2.572933e+05	1.800697e+05	4688.50
1.563313e+06	1.914500e+06	3.877215e+06	2.174698e+06	9.446398e+05	1.051814e+06	1.517989e+06	1.718906e+06	2.562511e+05	1.839121e+05	4689.35
1.564666e+06	1.930863e+06	3.866972e+06	2.194144e+06	9.463108e+05	1.050584e+06	1.527818e+06	1.738062e+06	2.562437e+05	1.788416e+05	4690.20
1.567854e+06	1.940580e+06	3.886010e+06	2.220651e+06	9.620618e+05	1.059097e+06	1.534925e+06	1.761332e+06	2.535074e+05	1.793190e+05	4691.05
1.561917e+06	1.940757e+06	3.883519e+06	2.205621e+06	9.478972e+05	1.053723e+06	1.530770e+06	1.740991e+06	2.538742e+05	1.768852e+05	4691.90
1.567390e+06	1.939445e+06	3.915384e+06	2.197007e+06	9.467246e+05	1.062826e+06	1.530957e+06	1.730316e+06	2.570959e+05	1.830275e+05	4692.75
1.580610e+06	1.947022e+06	3.913929e+06	2.217512e+06	9.630430e+05	1.062301e+06	1.535937e+06	1.742152e+06	2.631944e+05	1.813387e+05	4693.60
1.574431e+06	1.956244e+06	3.921003e+06	2.212773e+06	9.539398e+05	1.068739e+06	1.542502e+06	1.755433e+06	2.635644e+05	1.798481e+05	4694.45
1.571560e+06	1.960404e+06	3.941232e+06	2.234605e+06	9.516456e+05	1.072098e+06	1.551825e+06	1.769847e+06	2.631270e+05	1.867268e+05	4695.30
1.584370e+06	1.958110e+06	3.941248e+06	2.232339e+06	9.767332e+05	1.066076e+06	1.558753e+06	1.769052e+06	2.578177e+05	1.859698e+05	4696.15
1.568052e+06	1.955225e+06	3.931751e+06	2.210842e+06	9.752721e+05	1.060769e+06	1.549071e+06	1.746738e+06	2.575527e+05	1.849998e+05	4697.00
1.564306e+06	1.971492e+06	3.921209e+06	2.206636e+06	1.000541e+06	1.061298e+06	1.552014e+06	1.753550e+06	2.586458e+05	1.779969e+05	4697.85
1.574080e+06	1.975523e+06	3.884213e+06	2.232616e+06	1.069653e+06	1.074971e+06	1.565818e+06	1.759283e+06	2.543586e+05	1.778980e+05	4698.70
1.591050e+06	2.033400e+06	3.928574e+06	2.338847e+06	1.292973e+06	1.116574e+06	1.643900e+06	1.823217e+06	2.619892e+05	1.814883e+05	4699.55
1.655109e+06	2.175220e+06	4.013569e+06	2.598068e+06	1.643144e+06	1.218937e+06	1.869713e+06	2.056903e+06	2.800406e+05	1.851116e+05	4700.40
1.737517e+06	2.335328e+06	4.071212e+06	2.813923e+06	1.844321e+06	1.309762e+06	2.125405e+06	2.307431e+06	2.955698e+05	1.828125e+05	4701.25
1.734815e+06	2.369168e+06	4.143421e+06	2.800761e+06	1.680307e+06	1.307300e+06	2.154687e+06	2.340562e+06	2.911455e+05	1.780134e+05	4702.10
1.671860e+06	2.216754e+06	4.105338e+06	2.565560e+06	1.330224e+06	1.219224e+06	1.929503e+06	2.127415e+06	2.766690e+05	1.736224e+05	4702.95
1.603816e+06	2.049361e+06	4.009184e+06	2.314475e+06	1.065149e+06	1.123053e+06	1.678424e+06	1.852913e+06	2.630573e+05	1.745786e+05	4703.80
1.567184e+06	1.988208e+06	3.946181e+06	2.217779e+06	9.884859e+05	1.079088e+06	1.590410e+06	1.757503e+06	2.590222e+05	1.758264e+05	4704.65
1.556912e+06	2.003166e+06	3.904082e+06	2.208776e+06	9.807700e+05	1.071012e+06	1.577773e+06	1.732899e+06	2.538512e+05	1.780262e+05	4705.50
1.563236e+06	1.976671e+06	3.915206e+06	2.198481e+06	9.578626e+05	1.057569e+06	1.560822e+06	1.718926e+06	2.504911e+05	1.747295e+05	4706.35
1.548515e+06	1.941487e+06	3.884619e+06	2.189780e+06	9.597977e+05	1.046524e+06	1.541215e+06	1.729364e+06	2.514587e+05	1.764743e+05	4707.20
1.556677e+06	1.946150e+06	3.904027e+06	2.184991e+06	9.671667e+05	1.047527e+06	1.532740e+06	1.731201e+06	2.460575e+05	1.764751e+05	4708.05
1.563349e+06	1.990262e+06	3.949968e+06	2.188696e+06	9.630115e+05	1.063946e+06	1.553992e+06	1.735966e+06	2.538957e+05	1.790673e+05	4708.90
1.567205e+06	2.086077e+06	4.053036e+06	2.196716e+06	1.003321e+06	1.107561e+06	1.634916e+06	1.719643e+06	2.587271e+05	1.796907e+05	4709.75
1.603153e+06	2.335026e+06	4.312097e+06	2.207374e+06	1.116352e+06	1.211067e+06	1.811218e+06	1.754880e+06	2.662853e+05	1.829427e+05	4710.60
1.717032e+06	2.872026e+06	4.635430e+06	2.370751e+06	1.447111e+06	1.502612e+06	2.309646e+06	1.939528e+06	3.026214e+05	1.907937e+05	4711.45
1.888004e+06	3.670351e+06	5.056329e+06	2.711963e+06	1.928392e+06	1.953316e+06	3.138228e+06	2.335050e+06	3.606933e+05	2.022080e+05	4712.30
2.000790e+06	4.093560e+06	5.298889e+06	2.922233e+06	2.110372e+06	2.196874e+06	3.600045e+06	2.601629e+06	4.005048e+05	2.019642e+05	4713.15
1.941302e+06	3.697513e+06	5.063744e+06	2.837830e+06	1.849016e+06	2.010406e+06	3.238316e+06	2.509508e+06	3.807661e+05	1.932541e+05	4714.00
1.746904e+06	2.816879e+06	4.535163e+06	2.523906e+06	1.339982e+06	1.541123e+06	2.354215e+06	2.107120e+06	3.203779e+05	1.892118e+05	4714.85
