Y Lower Quartile	X Mean	Count	X Center	Y Mean	Y Upper Quartile	Y Std	Y Median
-683.2377937766996	4.640947905376642	78748	4.641275677602472	48.48093425236818	798.6780263645787	1328.0854425595467	64.29873881814001
-662.5548948836142	4.68014249762969	70792	4.680491363876982	35.56116987968606	753.6576309719712	1273.3376113010174	51.80396557973472
-626.7884487876088	4.7194537188728365	63792	4.7197070501514915	27.065851136091275	703.4920697951302	1209.7086837841107	40.78849414599517
-601.1746519711928	4.758876284285433	61050	4.758922736426001	9.656607684391007	653.2247255150846	1122.5330003819515	28.46567185976255
-580.1680910614255	4.798281642866113	63030	4.798138422700512	-6.554492013920012	595.3655569225732	1051.7625346751076	11.59795006452623
-540.9913449268245	4.837453205937045	66078	4.837354108975021	-7.557071020375093	561.7037985133538	990.2916838862222	15.658996083163402
-516.6484017693176	4.876748126047099	69014	4.876569795249531	-10.131230716487368	530.8594729198758	939.8324682242242	14.545674895638513
-496.1807546980144	4.915986370089565	72112	4.915785481524041	-7.475765977535417	508.93538196551935	894.1456610459834	11.477993568160855
-487.09415185941543	4.954929337675561	72689	4.955001167798551	-13.134634499288026	482.83803802503917	875.8265641469262	5.6955835843145906
-485.75202319026175	4.994186387934998	71064	4.994216854073061	-18.59060299212021	475.1599015259126	876.827874360543	2.7381289147624557
-471.91845258094736	5.033545113146869	73742	5.033432540347571	-21.067876578590248	460.7912959038031	850.5374565871259	-0.6048898935150646
-449.32055605646383	5.072472184782929	72778	5.07264822662208	-22.25837986815513	439.9264089902422	824.5164915124278	0.34217558193267905
-434.7889437997046	5.111581168925096	66295	5.11186391289659	-24.467956858870483	412.56424822797817	785.4087067857786	-6.687707649627555
-410.5783917619183	5.150848016856838	61152	5.1510795991711	-21.910261972195695	387.54400766866274	744.7257394999093	-4.247283964180497
-393.49458144675737	5.1897390832194805	54396	5.190295285445609	-22.287458972875303	368.88534543571313	719.0343310736224	-6.04747374075032
-389.5945752327907	5.228899792473548	45336	5.229510971720119	-26.265784796918222	354.35109674201294	697.5335662966585	-14.629132777498853
-371.63918457469754	5.267756306554676	35828	5.268726657994629	-31.17518945446516	337.7519138394109	669.1799146351897	-10.778718914117235
-362.99692488324627	5.306762432990938	25054	5.307942344269139	-38.5492137921104	312.1794137723318	663.282519373382	-15.195942024874057
-350.8805783958592	5.346333734854062	17500	5.347158030543649	-41.9563156410577	303.7191101225162	648.1276548705765	-12.467879208042177
-360.62734446855984	5.385567079176302	14290	5.3863737168181585	-50.37065601267149	302.50146798314654	637.1486343270722	-21.076192392693883
-350.43789868031536	5.4243698574122305	10152	5.425589403092668	-52.58332683244077	295.26720944344606	626.6059445747707	-26.145923199706885
-360.6676194429365	5.462660549615279	5865	5.464805089367179	-65.07332544486815	285.0169700372935	645.8729305327987	-25.34231022046879
-337.93019625229044	5.500714659120722	2723	5.504020775641688	-64.091723543291	269.3024978792064	596.4249280177978	-37.25478039460177
-339.08056027119164	5.539230658101993	829	5.543236461916198	-45.33092602099945	234.8950383045285	716.618463553195	-18.1978329952708
-424.6663767986056	5.57925220728307	268	5.582452148190708	-62.17040851705376	335.7227587334496	978.3723288892135	-44.35327329690335
